Feature	N	A	V	AV
mfcc0	0.1996936040396951	2.667414078212111	2.646768129376453	0.7826377506434287
mfcc1	0.10701806575591563	2.43260457415736	1.8604786491819048	0.7034945301963512
mfcc2	0.3199769985609006	3.6024524265329467	3.4316194467917316	0.4495743774731905
mfcc3	0.018315851933426226	3.066343001425606	1.1904761347491524	0.8349413818158723
mfcc4	0.3241306977122207	0.7514367762951257	1.8953073103683808	0.7287779506456677
mfcc5	0.07427241821670488	1.404356957816461	1.1478905668860524	0.38606061258134783
mfcc6	0.33683647139609996	1.9258100006470997	2.409767334482073	0.5101342326853946
mfcc7	0.444602799793653	1.6713263105274836	0.7916648623023683	2.5034634883615587
mfcc8	0.10523649144390512	1.4215487807798668	0.2619671242556482	0.8798017648132412
mfcc9	0.39077929556831986	2.05683911189523	0.14998317100795225	2.70999519034706
mfcc10	0.16077203153222358	0.22794867719494669	0.34190349948052123	1.0418387758535044
mfcc11	0.3075303420783721	0.9004994777753423	0.34542769667833445	2.0358797210067308
mfcc12	0.25167661850934514	1.8860957987014546	0.0735821699805797	1.8119321321783426
mfcc'0	0.08554989551557828	0.033107053035374756	0.08704311533108139	0.8385120516000547
mfcc'1	0.2165788981541555	2.0221023343334865	0.26109555007708135	1.6984883533724928
mfcc'2	0.021884713741467443	0.16054667406186612	0.002256593784654841	0.22640923167190502
mfcc'3	0.065379299760093	0.23641483941623168	0.13458690366322093	0.6707260611336723
mfcc'4	0.012570338702655054	0.4281263573493276	0.19137421285951742	0.23357494024947437
mfcc'5	0.20413274567519984	1.2297629625279116	0.06617468470843425	1.5506331747451874
mfcc'6	0.22029570683757888	1.8455568450146909	0.2301403772333792	1.7367947961160497
mfcc'7	0.10531949144240227	0.8360199447619034	0.003921481841326873	0.7146858252255418
mfcc'8	0.011301977071155553	0.10266655670236646	0.03882538982084771	0.0766887383366147
mfcc'9	0.03512520709831777	0.2164866326123948	0.006582924912013203	0.2598795709497242
mfcc'10	0.035038141941527365	0.4507500588981765	0.0079333052641111	0.1845849058204493
mfcc'11	0.07667237896028778	0.31473837435345864	0.019053428750734527	0.5657994999804152
mfcc'12	0.09626437848721521	0.9155677327954221	0.009063094691172262	0.6228385048968638
mfcc''0	0.03180126942981744	0.780044272153162	0.29517694218448004	0.11319940838019214
mfcc''1	0.2249041599556339	1.4403110834890966	0.03679264360625753	1.6443620961733234
mfcc''2	0.006538270597542442	0.7954932484615338	0.41770201584350886	0.24886954444289178
mfcc''3	0.03800968084651543	0.1971129700496395	0.011459263978990893	0.36426449039569636
mfcc''4	0.07275330215781543	0.1210332932338831	0.043346389338960546	0.5499959837284174
mfcc''5	0.20627726329871698	1.738125587424513	0.1893042672333646	1.5924955864227988
