Feature	N	A	V	AV
mfcc0	0.22706801721088798	2.4605035757683615	2.67928573122653	0.6344679540271176
mfcc1	0.12058284526255793	1.7298192464134479	1.5157002395119519	0.3447819681317947
mfcc2	0.33195998831381746	3.4502100924058676	3.418017898266305	0.3664602428651241
mfcc3	0.0034611137351168247	3.143223297979435	1.2989694084415615	0.817065474436883
mfcc4	0.34699455429707166	0.8538980966887213	2.0264034231461827	0.7953618695058668
mfcc5	0.11178327895566854	1.2702587099487235	1.209644427628729	0.16713036981019092
mfcc6	0.33518389113553865	1.803630223249139	2.2673339959125696	0.6363858288714545
mfcc7	0.5298582427158388	1.6843420032037217	1.1053279468505464	2.864907014472511
mfcc8	0.04529857320167581	1.1057179743672445	0.6430361829987289	0.10637211967645066
mfcc9	0.31965272069800743	2.1694602977203803	0.139937024053128	2.4121020024157094
mfcc10	0.16468940158168818	0.036311705513991155	0.1891695065046008	1.2118027180044748
mfcc11	0.35035326040857956	1.0091600552844011	0.508490778938898	2.185909790728164
mfcc12	0.15637712176103605	1.7508952001892344	0.3469129547410057	1.3448847870403238
mfcc'0	0.09606342502437919	0.1766378803623046	0.051550871966035125	0.8522621777134788
mfcc'1	0.200401949459562	1.8729637964417039	0.2954420026189291	1.6355855308591476
mfcc'2	0.02738325923117383	0.09601787823488783	0.046120855747325114	0.20590019619922523
mfcc'3	0.06558371356964772	0.26226334066348594	0.09165211438942822	0.6148234072001141
mfcc'4	0.008155243435422063	0.3206445081328085	0.23864224505308484	0.1364900088891643
mfcc'5	0.1732121117042098	0.9411584667617965	0.030449751018438293	1.3099771528703046
mfcc'6	0.20191626445955213	1.7303912841590852	0.2545518496862572	1.6345999566573979
mfcc'7	0.12710082141496645	0.9384476860624595	0.009271407345010044	0.8851202105405209
mfcc'8	0.007051363760036807	0.2963037803134179	0.10957623461959022	0.11998366980845902
mfcc'9	0.055110476861197355	0.3980905857061186	0.033563176740506795	0.42128309389593416
mfcc'10	0.005990943455604644	0.29063802970380914	0.027867032520841287	0.05227760235877439
mfcc'11	0.052556016318298406	0.25100672294764775	0.0005184762656900955	0.3954738683370804
mfcc'12	0.07937690360505571	0.8408524082398795	0.01717959398054912	0.5042242565977759
mfcc''0	0.06587562650099059	0.5522546282172452	0.31314536188868947	0.33182669914122326
mfcc''1	0.20945718074285113	1.1960725519615976	0.014890059626077907	1.508075553022682
mfcc''2	0.01871139287124907	0.6592544580829773	0.4184442362234473	0.17736099936446204
mfcc''3	0.035265932424047186	0.23686771604373985	0.03987386000074313	0.31615869030896077
mfcc''4	0.08494170253591651	0.21103264927534104	0.06358400872981479	0.6095968923951491
mfcc''5	0.1861412992959411	1.5662226582843786	0.20742031053992052	1.481371236918733
mfcc''6	0.0136346683594414	0.4610718714877103	0.15642198902606388	0.19295368768635834
mfcc''7	0.12060884114423717	0.8385225236026832	0.13275610800277193	1.0009062180306283
mfcc''8	0.056115715786569945	0.2922132082980394	0.020423770552189597	0.4401258926047011
